run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,threshold_fix_applied,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_rain_text_all_pca_0.75_5,c52120ee0e5e46c9b458c6fec700d023,acled_event_food_rain_text_all,True,True,True,False,True,0.75,False,5,event_type,0.0466,64,0.3252,0.3472,1.0000,0.5155,0.2996,0.2639,1.0000,0.4176,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.75,5,event_type
acled_event_food_rain_text_all_0.75_5,0dc84aecbfd64d59ac42a407bfa1291c,acled_event_food_rain_text_all,True,True,True,False,False,0.75,False,5,event_type,0.3217,782,0.3639,0.3472,1.0000,0.5155,0.2725,0.2639,1.0000,0.4176,0.6,1,0,1,3,1,0.01,1,0.6,1.0,0.75,5,event_type
acled_sub_food_rain_text_conflict_pca_1_4,5432f5ba4d9e4c1099faa3d892e0e1b3,acled_sub_food_rain_text_conflict,True,True,True,True,True,1,False,4,sub_event_type,0.3411,56,0.3637,0.3411,0.6667,0.4513,0.3010,0.2554,0.8557,0.3934,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,4,sub_event_type
acled_sub_food_rain_text_conflict_1_4,55e5a4168985436ea4bd8713a10ba5c5,acled_sub_food_rain_text_conflict,True,True,True,True,False,1,False,4,sub_event_type,0.4167,800,0.3769,0.3216,0.8333,0.4641,0.2921,0.2445,0.9175,0.3861,0.8,10,0.1,3,3,5,0.01,3,1.0,0.8,1,4,sub_event_type
acled_sub_food_rain_text_conflict_pca_1_5,4422d0a0215f4a7dabe5f16cdba141cd,acled_sub_food_rain_text_conflict,True,True,True,True,True,1,False,5,sub_event_type,0.2261,56,0.3653,0.3006,0.7424,0.4279,0.3333,0.2586,0.7010,0.3778,1.0,1,0.1,5,3,0,0.03,0,0.8,0.6,1,5,sub_event_type
acled_sub_food_rain_text_conflict_1_5,09133ca50c1c4d7c8be2d95ebc0f15f9,acled_sub_food_rain_text_conflict,True,True,True,True,False,1,False,5,sub_event_type,0.1401,800,0.3549,0.3056,1.0000,0.4681,0.2661,0.2245,1.0000,0.3667,0.6,10,2,5,3,1,0.05,5,0.6,0.8,1,5,sub_event_type
acled_sub_food_rain_text_all_pca_1_4,5aa7050d0c6443a7b8a61afc2ec46279,acled_sub_food_rain_text_all,True,True,True,False,True,1,False,4,sub_event_type,0.1644,82,0.2872,0.3128,1.0000,0.4765,0.3260,0.2270,0.9897,0.3692,0.8,10,1,1,7,0,0.05,5,0.6,1.0,1,4,sub_event_type
acled_sub_food_rain_text_all_1_4,b08c7b31a7e94031882d24869f9ab04e,acled_sub_food_rain_text_all,True,True,True,False,False,1,False,4,sub_event_type,0.2368,800,0.3029,0.3054,0.9394,0.4610,0.2622,0.2291,0.9897,0.3721,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,1,4,sub_event_type
acled_sub_food_rain_text_all_pca_1_5,8acf252ddaab49c796484863a569b627,acled_sub_food_rain_text_all,True,True,True,False,True,1,False,5,sub_event_type,0.1570,82,0.3070,0.2872,0.8485,0.4291,0.2644,0.2394,0.8763,0.3761,0.8,10,1,5,7,1,0.1,3,0.6,0.8,1,5,sub_event_type
acled_sub_food_rain_text_all_1_5,140d32f5bd164dcb947d57e15c83c7a1,acled_sub_food_rain_text_all,True,True,True,False,False,1,False,5,sub_event_type,0.1661,800,0.3559,0.3131,0.9394,0.4697,0.2666,0.2314,0.9278,0.3704,0.6,10,2,1,7,0,0.05,0,0.8,1.0,1,5,sub_event_type
