run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_rain_threshold_change_0.5_5,537ba74d3c534db988b44461464f624b,acled_event_rain_threshold_change,FALSE,TRUE,FALSE,FALSE,FALSE,0.5,5,event_type,0.3821,10,0.3191,0.3595,0.6875,0.4721,0.4434,0.3984,0.5976,0.478,0.8,10,1,3,3,0,0.1,5,1,0.8,0.5,5,event_type
acled_sub_rain_threshold_change_1_4,6f1525fcde3d45c4994555a1925b4172,acled_sub_rain_threshold_change,FALSE,TRUE,FALSE,FALSE,FALSE,1,4,sub_event_type,0.3869,28,0.2983,0.2977,0.5909,0.3959,0.3435,0.3119,0.5862,0.4072,0.6,10,1,5,7,5,0.1,5,0.6,0.6,1,4,sub_event_type
acled_sub_rain_threshold_change_1_5,c84801ebc57e4fd2ac50bae5a0f24755,acled_sub_rain_threshold_change,FALSE,TRUE,FALSE,FALSE,FALSE,1,5,sub_event_type,0.3228,28,0.3055,0.3158,0.7273,0.4404,0.3546,0.3008,0.6379,0.4088,0.8,10,1,3,3,0,0.1,5,1,0.8,1,5,sub_event_type
acled_event_rain_threshold_change_1_4,2dc96913fee3497ebe8c07572d61d7f0,acled_event_rain_threshold_change,FALSE,TRUE,FALSE,FALSE,FALSE,1,4,event_type,0.3458,10,0.2867,0.3007,0.6515,0.4115,0.3806,0.3248,0.6552,0.4343,0.8,1,0,5,3,5,0.05,0,0.6,0.8,1,4,event_type
acled_event_rain_threshold_change_1_5,a22b6f10422248b1a9b2b26cb996b0f6,acled_event_rain_threshold_change,FALSE,TRUE,FALSE,FALSE,FALSE,1,5,event_type,0.3604,10,0.3154,0.3063,0.7424,0.4336,0.3873,0.313,0.7069,0.4339,0.6,10,2,1,3,5,0.03,1,0.6,0.8,1,5,event_type
acled_sub_text_conflict_threshold_change_pca_0.5_4,a0fe09b871704a7eaaff8e76f3903491,acled_sub_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,4,sub_event_type,0.3589,52,0.3943,0.3171,0.4875,0.3842,0.4044,0.3696,0.4146,0.3908,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.5,4,sub_event_type
acled_sub_text_conflict_threshold_change_pca_0.5_5,e7dabf79292247a8ac8d155c53899987,acled_sub_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,5,sub_event_type,0.192,52,0.3901,0.3714,0.975,0.5379,0.3978,0.3894,0.9878,0.5586,0.6,1,1,5,7,5,0.03,1,0.8,0.6,0.5,5,sub_event_type
acled_sub_text_all_threshold_change_pca_0.5_4,a0b169ad23874bc6ba24107aca0c575f,acled_sub_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,4,sub_event_type,0.0291,71,0.3865,0.3704,1,0.5405,0.3823,0.3796,1,0.5503,0.8,1,2,1,3,5,0.1,1,0.8,0.8,0.5,4,sub_event_type
acled_sub_text_all_threshold_change_pca_0.5_5,9c08cee0d7ec4d79ad6d4329f5b47f5c,acled_sub_text_all_threshold_change,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,5,sub_event_type,0.1406,71,0.3947,0.365,0.9125,0.5214,0.4148,0.3788,0.9146,0.5357,1,1,0.1,3,3,0,0.05,0,0.8,0.8,0.5,5,sub_event_type
acled_event_text_conflict_threshold_change_pca_0.5_4,bd56992ad7cd4d0aaae5f40fa6f267b8,acled_event_text_conflict_threshold_change,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,4,event_type,0.3135,34,0.3764,0.3593,0.75,0.4858,0.4294,0.3973,0.7073,0.5088,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type
