run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_text_conflict_0.5_4,a195d361296445bd8c7425bf523d552a,acled_sub_food_text_conflict,False,True,False,True,True,False,0.5,4,sub_event_type,0.3003,799,0.4373,0.3704,1.0000,0.5405,0.3536,0.3264,1.0000,0.4921,0.6,5,1,1,5,1,0.01,5,0.8,1.0,0.5,4,sub_event_type
acled_sub_food_text_conflict_pca_0.5_5,3a75ddc69a6b45e0808ccd6646ea8c97,acled_sub_food_text_conflict,False,True,False,True,True,True,0.5,5,sub_event_type,0.0912,55,0.4162,0.3846,1.0000,0.5556,0.3498,0.3310,1.0000,0.4974,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.5,5,sub_event_type
acled_sub_food_text_conflict_0.5_5,6522a935bb2049769439cf552ed8d694,acled_sub_food_text_conflict,False,True,False,True,True,False,0.5,5,sub_event_type,0.3340,799,0.3709,0.3781,0.9500,0.5409,0.3377,0.3298,0.8723,0.4786,1.0,1,2,3,3,5,0.01,3,0.6,1.0,0.5,5,sub_event_type
acled_sub_food_text_all_pca_0.5_4,25d233d8b61049219bf28a5eda1711a0,acled_sub_food_text_all,False,True,False,True,False,True,0.5,4,sub_event_type,0.1360,81,0.3234,0.3709,0.9875,0.5392,0.3355,0.3248,0.9858,0.4886,1.0,5,0,1,7,5,0.1,3,0.6,0.6,0.5,4,sub_event_type
acled_sub_food_text_all_0.5_4,a2c997beef1141d1bff7ebc2f50654b1,acled_sub_food_text_all,False,True,False,True,False,False,0.5,4,sub_event_type,0.0378,799,0.3764,0.3704,1.0000,0.5405,0.3526,0.3264,1.0000,0.4921,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.5,4,sub_event_type
acled_sub_food_text_all_pca_0.5_5,7a1179c0d1514525a8dac6d88d5bea61,acled_sub_food_text_all,False,True,False,True,False,True,0.5,5,sub_event_type,0.0658,81,0.3599,0.3704,1.0000,0.5405,0.3416,0.3264,1.0000,0.4921,1.0,1,0,5,7,5,0.03,0,0.6,1.0,0.5,5,sub_event_type
acled_sub_food_text_all_0.5_5,042b01994fc646d48c48a7cbf2fcf8ae,acled_sub_food_text_all,False,True,False,True,False,False,0.5,5,sub_event_type,0.3093,799,0.3708,0.3704,1.0000,0.5405,0.3320,0.3264,1.0000,0.4921,0.6,1,0,1,3,1,0.01,1,0.6,1.0,0.5,5,sub_event_type
acled_event_food_text_conflict_pca_0.5_4,55a93e9211094a97b081aef591eae4a0,acled_event_food_text_conflict,False,True,False,True,True,True,0.5,4,event_type,0.1683,37,0.3842,0.3704,1.0000,0.5405,0.3555,0.3264,1.0000,0.4921,0.6,10,1,1,5,5,0.1,3,0.8,0.8,0.5,4,event_type
acled_event_food_text_conflict_0.5_4,3d6231e55a1644b3af06c4835ca04990,acled_event_food_text_conflict,False,True,False,True,True,False,0.5,4,event_type,0.2204,781,0.4325,0.3674,0.9875,0.5356,0.3714,0.3264,1.0000,0.4921,0.6,10,2,5,3,1,0.05,5,0.6,0.8,0.5,4,event_type
acled_event_food_text_conflict_pca_0.5_5,d230a333de8141ad81322ec801ff53a6,acled_event_food_text_conflict,False,True,False,True,True,True,0.5,5,event_type,0.2506,37,0.4120,0.3636,0.9000,0.5180,0.3410,0.3387,0.9007,0.4922,1.0,10,0,5,7,5,0.03,1,0.8,1.0,0.5,5,event_type
