run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,train_cv_aupr,train_cv_f1,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,price_recency
acled_sub_text_conflict_threshold_change_0.5_4,000474897f174db18c36402f6a323f06,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5,4,sub_event_type,0.3531,796,0.2837,0.4237,0.4424,0.3704,1,0.5405,0.3808,0.3264,1,0.4921,0.6,10,2,5,3,0,0.01,1,0.6,0.8,0.5,4,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_pca_0.5_5,36ba8dcaad9546aca0927b6240f6b5e3,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,5,sub_event_type,0.1407,52,0.3194,0.4382,0.3987,0.3695,0.9375,0.53,0.3691,0.3333,0.8865,0.4845,0.8,1,2,1,3,5,0.1,1,0.8,0.8,0.5,5,sub_event_type,FALSE
acled_sub_text_conflict_threshold_change_0.5_5,fefc34e64f154ddea139199cbb73c09b,acled_sub_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5,5,sub_event_type,0.3118,796,0.3088,0.4346,0.3943,0.3631,0.8125,0.5019,0.3528,0.3499,0.8511,0.4959,0.6,10,0,5,7,0,0.05,5,1,1,0.5,5,sub_event_type,FALSE
acled_sub_text_all_threshold_change_pca_0.5_4,884184ac7f224b51925619f29de695cf,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,4,sub_event_type,0.041,78,0.3086,0.4241,0.3284,0.3704,1,0.5405,0.3562,0.3271,1,0.493,0.6,1,2,5,3,0,0.1,3,1,0.8,0.5,4,sub_event_type,FALSE
acled_sub_text_all_threshold_change_0.5_4,b37386358e794c4bacf4b028b68c97fa,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,4,sub_event_type,0.2089,796,0.3187,0.4311,0.3443,0.3689,0.95,0.5315,0.3688,0.3309,0.9787,0.4946,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,sub_event_type,FALSE
acled_sub_text_all_threshold_change_pca_0.5_5,4139ee4da093447fba0d7b5069589d6e,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5,5,sub_event_type,0.2526,78,0.2958,0.4308,0.3231,0.3704,1,0.5405,0.3434,0.3264,1,0.4921,1,1,1,5,3,5,0.01,1,0.8,0.6,0.5,5,sub_event_type,FALSE
acled_sub_text_all_threshold_change_0.5_5,3e8d75847dab46faae035bd9c6d1ad26,acled_sub_text_all_threshold_change,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,5,sub_event_type,0.3827,796,0.3081,0.4417,0.3419,0.3814,0.925,0.5401,0.3305,0.3373,0.8085,0.476,1,10,2,1,7,0,0.01,3,1,0.8,0.5,5,sub_event_type,FALSE
acled_event_text_conflict_threshold_change_pca_0.5_4,10b62630f02441d1a30e42167ecb57ae,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,4,event_type,0.2955,34,0.3028,0.4295,0.4216,0.4134,0.925,0.5714,0.3899,0.3608,0.9007,0.5152,0.6,5,2,1,5,1,0.05,1,0.6,0.6,0.5,4,event_type,FALSE
acled_event_text_conflict_threshold_change_0.5_4,8d3e1611e9a4403f96423b7e81cc8cb7,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5,4,event_type,0.234,778,0.2952,0.4287,0.4403,0.3709,0.9875,0.5392,0.3462,0.3263,0.9858,0.4903,0.6,5,0,5,5,5,0.03,3,1,0.8,0.5,4,event_type,FALSE
acled_event_text_conflict_threshold_change_pca_0.5_5,5ad2a0146c7d4c0f815803d943d34397,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.5,5,event_type,0.3026,34,0.3028,0.437,0.3595,0.3511,0.825,0.4925,0.343,0.3244,0.6879,0.4409,1,1,0,3,7,5,0.01,3,1,1,0.5,5,event_type,FALSE
acled_event_text_conflict_threshold_change_0.5_5,e61b0dfc879d42e586747ea7836838b2,acled_event_text_conflict_threshold_change,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5,5,event_type,0.2757,778,0.2962,0.4369,0.3876,0.3777,0.8875,0.5299,0.3892,0.3636,0.8794,0.5145,0.8,10,1,5,7,1,0.1,3,0.6,0.8,0.5,5,event_type,FALSE
