run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,active_window_end,threshold_fix_applied
acled_sub_food_1_5,3802eebeba4b4e3ea557a318343971a6,acled_sub_food,True,False,False,False,False,1.0,5,sub_event_type,0.056,30,0.351,0.3113,1.0,0.4748,0.3535,0.2775,1.0,0.4345,0.8,1,0.1,3,5,5,0.05,1,1.0,0.8,1.0,5,sub_event_type,2024,False
acled_event_food_1_5,afef5f71af3e4c1389f662569700292b,acled_event_food,True,False,False,False,False,1.0,5,event_type,0.2863,12,0.3213,0.3121,0.6667,0.4251,0.3365,0.3165,0.8621,0.463,0.6,10,2.0,1,7,0,0.05,0,0.8,1.0,1.0,5,event_type,2024,False
acled_sub_rain_text_conflict_0.25_4,1db0ba8779384fb58aaf31bc1ab0688c,acled_sub_rain_text_conflict,False,True,True,True,False,0.25,4,sub_event_type,0.421,797,0.4789,0.4213,1.0,0.5928,0.393,0.4299,1.0,0.6013,0.8,10,2.0,3,3,5,0.01,5,0.8,0.8,0.25,4,sub_event_type,2024,False
acled_sub_rain_text_conflict_pca_0.25_5,29b35378ca304404b7f37e23291b5658,acled_sub_rain_text_conflict,False,True,True,True,True,0.25,5,sub_event_type,0.1696,53,0.4324,0.4251,0.967,0.5906,0.4395,0.4372,0.9457,0.5979,0.8,1,1.0,5,7,1,0.05,1,1.0,0.8,0.25,5,sub_event_type,2024,False
acled_sub_rain_text_conflict_0.25_5,eb6dbd221bb8468b99294ae72e233e5c,acled_sub_rain_text_conflict,False,True,True,True,False,0.25,5,sub_event_type,0.3791,797,0.4415,0.4213,1.0,0.5928,0.3872,0.4259,1.0,0.5974,0.6,10,0.1,1,3,1,0.01,5,0.6,0.8,0.25,5,sub_event_type,2024,False
acled_sub_rain_text_all_0.25_4,8753b9b487d84858943a74ef2a31f401,acled_sub_rain_text_all,False,True,True,False,False,0.25,4,sub_event_type,0.1287,797,0.4251,0.4213,1.0,0.5928,0.4558,0.4259,1.0,0.5974,0.6,5,1.0,5,7,1,0.05,0,0.6,0.6,0.25,4,sub_event_type,2024,False
acled_sub_rain_text_all_pca_0.25_5,41c675e40dbf432ea73fb18247ffce57,acled_sub_rain_text_all,False,True,True,False,True,0.25,5,sub_event_type,0.0315,72,0.4163,0.4213,1.0,0.5928,0.412,0.4259,1.0,0.5974,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,0.25,5,sub_event_type,2024,False
acled_sub_rain_text_all_0.25_5,f9e8e41e4da748ec9995b5976e2dbfd8,acled_sub_rain_text_all,False,True,True,False,False,0.25,5,sub_event_type,0.0726,797,0.4338,0.4213,1.0,0.5928,0.4023,0.4259,1.0,0.5974,0.6,10,1.0,1,5,5,0.1,3,0.8,0.8,0.25,5,sub_event_type,2024,False
acled_event_rain_text_conflict_0.25_4,b5053c89d4044fd28db19a6d692c72cf,acled_event_rain_text_conflict,False,True,True,True,False,0.25,4,event_type,0.2226,779,0.4808,0.4213,1.0,0.5928,0.3989,0.4259,1.0,0.5974,0.8,1,0.0,5,3,1,0.03,0,0.8,0.6,0.25,4,event_type,2024,False
acled_event_rain_text_conflict_pca_0.25_5,8ee52e30d9e646dda8dbcf762cd2ae3a,acled_event_rain_text_conflict,False,True,True,True,True,0.25,5,event_type,0.3102,35,0.4153,0.4213,1.0,0.5928,0.4709,0.4259,1.0,0.5974,0.8,5,0.1,3,7,0,0.01,0,0.6,0.6,0.25,5,event_type,2024,False
acled_event_rain_text_conflict_0.25_5,a9d15e8fbd904bfaa518f00244cb581a,acled_event_rain_text_conflict,False,True,True,True,False,0.25,5,event_type,0.0425,779,0.4099,0.4213,1.0,0.5928,0.4348,0.4259,1.0,0.5974,0.6,1,1.0,1,3,0,0.1,1,0.6,0.8,0.25,5,event_type,2024,False
acled_event_rain_text_all_0.25_4,59cddcc0b19e40fb8919aba3dd4332d5,acled_event_rain_text_all,False,True,True,False,False,0.25,4,event_type,0.057,779,0.4722,0.4213,1.0,0.5928,0.4077,0.4259,1.0,0.5974,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.25,4,event_type,2024,False
acled_event_rain_text_all_pca_0.25_5,6e1587eb2b68413b935232421e7c6d6b,acled_event_rain_text_all,False,True,True,False,True,0.25,5,event_type,0.119,54,0.4359,0.4213,1.0,0.5928,0.3983,0.4259,1.0,0.5974,0.6,1,1.0,1,3,1,0.05,3,0.8,0.8,0.25,5,event_type,2024,False
acled_event_rain_text_all_0.25_5,392ff14959a6408abb6a210c259356bd,acled_event_rain_text_all,False,True,True,False,False,0.25,5,event_type,0.0818,779,0.4194,0.4213,1.0,0.5928,0.4321,0.4259,1.0,0.5974,0.6,10,0.1,1,5,0,0.05,3,0.8,1.0,0.25,5,event_type,2024,False
acled_sub_rain_text_conflict_0.5_4,9508782b839e4c2b8849a1b36a9a7cd8,acled_sub_rain_text_conflict,False,True,True,True,False,0.5,4,sub_event_type,0.3032,797,0.3841,0.3704,1.0,0.5405,0.3651,0.3796,1.0,0.5503,0.6,5,1.0,1,5,1,0.01,5,0.8,1.0,0.5,4,sub_event_type,2024,False
