run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col,active_window_end,threshold_fix_applied
acled_sub_food_rain_text_conflict_pca_0.25_4,c0cf7ee2ad4a42e5bcb3f2d9f5db43d6,acled_sub_food_rain_text_conflict,True,True,True,True,True,0.25,4,sub_event_type,0.247,56,0.4266,0.4233,1.0,0.5948,0.3998,0.4259,1.0,0.5974,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.25,4,sub_event_type,2024,False
acled_sub_food_rain_text_all_pca_0.25_4,9168691cdd7a43e9a772411e1265a240,acled_sub_food_rain_text_all,True,True,True,False,True,0.25,4,sub_event_type,0.029,75,0.4416,0.4213,1.0,0.5928,0.4213,0.4259,1.0,0.5974,0.6,1,0.1,1,3,0,0.1,1,0.6,0.6,0.25,4,sub_event_type,2024,False
acled_event_food_rain_text_conflict_pca_0.25_4,caa2fef35ad543b9af54726579c98f18,acled_event_food_rain_text_conflict,True,True,True,True,True,0.25,4,event_type,0.1302,38,0.4104,0.4245,0.989,0.5941,0.4312,0.4259,1.0,0.5974,0.6,1,2.0,5,3,0,0.1,3,1.0,0.8,0.25,4,event_type,2024,False
acled_event_food_rain_text_all_pca_0.25_4,ec5b38251c944f0a980be616f72aa8bc,acled_event_food_rain_text_all,True,True,True,False,True,0.25,4,event_type,0.1709,57,0.4199,0.4213,1.0,0.5928,0.4116,0.4259,1.0,0.5974,1.0,5,0.1,1,5,0,0.1,3,0.8,0.8,0.25,4,event_type,2024,False
acled_sub_food_rain_text_conflict_pca_0.5_4,4ddbff406f124e11858ebf40b024af68,acled_sub_food_rain_text_conflict,True,True,True,True,True,0.5,4,sub_event_type,0.1355,56,0.3671,0.3704,1.0,0.5405,0.3458,0.3796,1.0,0.5503,0.6,10,1.0,5,7,5,0.1,5,0.6,0.6,0.5,4,sub_event_type,2024,False
acled_sub_food_rain_text_all_pca_0.5_4,c984ed153ccb42d89a71626271338497,acled_sub_food_rain_text_all,True,True,True,False,True,0.5,4,sub_event_type,0.0799,75,0.3459,0.3721,1.0,0.5424,0.3446,0.3814,1.0,0.5522,0.6,10,1.0,1,5,5,0.1,1,0.6,0.8,0.5,4,sub_event_type,2024,False
acled_event_food_rain_text_conflict_pca_0.5_4,c8db2900593046b89524115417a96387,acled_event_food_rain_text_conflict,True,True,True,True,True,0.5,4,event_type,0.1904,38,0.3712,0.3704,1.0,0.5405,0.3766,0.3796,1.0,0.5503,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.5,4,event_type,2024,False
acled_event_food_rain_text_all_pca_0.5_4,6cbfdcf710b94ceeb7324cb6f40b1696,acled_event_food_rain_text_all,True,True,True,False,True,0.5,4,event_type,0.1255,57,0.3354,0.3704,1.0,0.5405,0.3762,0.3796,1.0,0.5503,0.6,1,1.0,1,3,1,0.05,3,0.8,0.8,0.5,4,event_type,2024,False
acled_sub_food_rain_text_conflict_pca_1_4,71bc63381d3a4c799c0a250b711f47c1,acled_sub_food_rain_text_conflict,True,True,True,True,True,1.0,4,sub_event_type,0.3842,56,0.3572,0.3088,0.6364,0.4158,0.3628,0.3026,0.7931,0.4381,0.6,10,2.0,5,3,1,0.05,5,0.6,0.8,1.0,4,sub_event_type,2024,False
acled_sub_food_rain_text_all_pca_1_4,7d338c1f198a4fc49bdf5b24057648a6,acled_sub_food_rain_text_all,True,True,True,False,True,1.0,4,sub_event_type,0.2978,75,0.328,0.3097,0.7273,0.4344,0.374,0.2846,0.6034,0.3867,0.8,1,0.0,5,3,5,0.03,5,1.0,0.6,1.0,4,sub_event_type,2024,False
acled_event_food_rain_text_conflict_pca_1_4,1321338b6320445baee5b294afd56265,acled_event_food_rain_text_conflict,True,True,True,True,True,1.0,4,event_type,0.3624,38,0.3327,0.3191,0.6818,0.4348,0.3468,0.3,0.6724,0.4149,0.6,10,1.0,5,7,5,0.1,5,0.6,0.6,1.0,4,event_type,2024,False
acled_event_food_rain_text_all_pca_1_4,82823f0965734a2f94ea1333f47ad9ac,acled_event_food_rain_text_all,True,True,True,False,True,1.0,4,event_type,0.0624,57,0.31,0.3056,1.0,0.4681,0.3404,0.2685,1.0,0.4234,0.8,10,1.0,5,7,1,0.1,3,1.0,1.0,1.0,4,event_type,2024,False
acled_sub_food_rain_0.25_4,789f30d471394c76962dacd5bd9c1527,acled_sub_food_rain,True,True,False,False,False,0.25,4,sub_event_type,0.3733,31,0.4276,0.4146,0.9341,0.5743,0.4234,0.4327,0.9783,0.6,0.6,10,0.0,5,7,0,0.05,5,1.0,1.0,0.25,4,sub_event_type,2024,False
acled_event_food_rain_0.25_4,7c8821421f914f179f42a1b3e8359a79,acled_event_food_rain,True,True,False,False,False,0.25,4,event_type,0.3932,13,0.3837,0.4213,1.0,0.5928,0.4471,0.4259,1.0,0.5974,0.6,10,1.0,5,7,5,0.1,5,0.6,0.6,0.25,4,event_type,2024,False
acled_sub_food_rain_0.5_4,4f3964356074440dac2ac4758f1e1605,acled_sub_food_rain,True,True,False,False,False,0.5,4,sub_event_type,0.346,31,0.3446,0.3404,0.8,0.4776,0.3936,0.4021,0.9512,0.5652,0.6,10,2.0,5,3,1,0.05,5,0.6,0.8,0.5,4,sub_event_type,2024,False
acled_event_food_rain_0.5_4,25ee35a4204342f299990331f7fd2fac,acled_event_food_rain,True,True,False,False,False,0.5,4,event_type,0.3837,13,0.3347,0.3439,0.675,0.4557,0.3948,0.374,0.5976,0.4601,0.6,10,1.0,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type,2024,False
acled_sub_food_rain_1_4,e3fd8c2a6eb642b1ba0ffdb3c8b6a04a,acled_sub_food_rain,True,True,False,False,False,1.0,4,sub_event_type,0.3432,31,0.3213,0.3178,0.5152,0.3931,0.3693,0.3246,0.6379,0.4302,0.6,1,2.0,5,3,0,0.1,3,1.0,0.8,1.0,4,sub_event_type,2024,False
acled_event_food_rain_1_4,1fd01f06ade44560a86a9731d49b9737,acled_event_food_rain,True,True,False,False,False,1.0,4,event_type,0.2826,13,0.302,0.3022,0.6364,0.4098,0.3606,0.2953,0.7586,0.4251,0.6,10,1.0,1,5,5,0.1,3,0.8,0.8,1.0,4,event_type,2024,False
acled_sub_food_text_conflict_pca_0.25_4,e4879781a7834c1bb919023800062fd5,acled_sub_food_text_conflict,True,False,True,True,True,0.25,4,sub_event_type,0.2507,55,0.4954,0.4213,1.0,0.5928,0.4162,0.4259,1.0,0.5974,0.6,10,2.0,5,5,1,0.05,1,0.8,0.6,0.25,4,sub_event_type,2024,False
acled_sub_food_text_all_pca_0.25_4,227d273192094c27a124b1e487fc9cbd,acled_sub_food_text_all,True,False,True,False,True,0.25,4,sub_event_type,0.099,74,0.4234,0.4252,1.0,0.5967,0.4127,0.4259,1.0,0.5974,0.6,1,1.0,1,3,0,0.1,1,0.6,0.8,0.25,4,sub_event_type,2024,False
acled_event_food_text_conflict_pca_0.25_4,620ab2ccc8924990946aaf6399fcf713,acled_event_food_text_conflict,True,False,True,True,True,0.25,4,event_type,0.142,37,0.4346,0.4151,0.967,0.5809,0.4434,0.43,0.9674,0.5953,0.6,10,1.0,1,5,5,0.1,1,0.6,0.8,0.25,4,event_type,2024,False
acled_event_food_text_all_pca_0.25_4,e962e923ce0c471ba1fcf230f5d9f988,acled_event_food_text_all,True,False,True,False,True,0.25,4,event_type,0.2264,56,0.4831,0.4213,1.0,0.5928,0.4406,0.4259,1.0,0.5974,1.0,10,2.0,3,7,0,0.1,3,0.6,0.8,0.25,4,event_type,2024,False
acled_sub_food_text_conflict_pca_0.5_4,3deb7c4fc9714bfbaf91a26e2982b27e,acled_sub_food_text_conflict,True,False,True,True,True,0.5,4,sub_event_type,0.1522,55,0.4082,0.3704,1.0,0.5405,0.3909,0.3796,1.0,0.5503,0.6,10,1.0,5,7,5,0.1,5,0.6,0.6,0.5,4,sub_event_type,2024,False
acled_sub_food_text_all_pca_0.5_4,89e01c9ad29d45f8b78a69912984e921,acled_sub_food_text_all,True,False,True,False,True,0.5,4,sub_event_type,0.3237,74,0.383,0.3704,1.0,0.5405,0.431,0.3796,1.0,0.5503,1.0,5,1.0,5,3,5,0.01,5,0.6,1.0,0.5,4,sub_event_type,2024,False
acled_event_food_text_conflict_pca_0.5_4,01c3c3fc2e7c4aecaf14fd6e848352db,acled_event_food_text_conflict,True,False,True,True,True,0.5,4,event_type,0.0812,37,0.399,0.3704,1.0,0.5405,0.3736,0.3796,1.0,0.5503,0.6,10,1.0,1,5,5,0.1,1,0.6,0.8,0.5,4,event_type,2024,False
acled_event_food_text_all_pca_0.5_4,02e000f532fc43b9956ec67b78f79342,acled_event_food_text_all,True,False,True,False,True,0.5,4,event_type,0.3324,56,0.396,0.3704,1.0,0.5405,0.4235,0.3796,1.0,0.5503,1.0,5,1.0,5,3,5,0.01,5,0.6,1.0,0.5,4,event_type,2024,False
acled_sub_food_text_conflict_pca_1_4,c8d0763ba08c4db1b1dfba698777a400,acled_sub_food_text_conflict,True,False,True,True,True,1.0,4,sub_event_type,0.4407,55,0.4214,0.3443,0.6364,0.4468,0.3464,0.3193,0.6552,0.4294,0.8,5,2.0,5,3,0,0.01,0,0.8,0.6,1.0,4,sub_event_type,2024,False
acled_sub_food_text_all_pca_1_4,18f0a639cd344209ba1f754bab1e0e22,acled_sub_food_text_all,True,False,True,False,True,1.0,4,sub_event_type,0.1578,74,0.3923,0.3101,0.7424,0.4375,0.3382,0.3047,0.6724,0.4194,1.0,5,0.0,3,3,0,0.1,1,1.0,0.8,1.0,4,sub_event_type,2024,False
acled_event_food_text_conflict_pca_1_4,99d4b787edc8466a920dabc6deab6051,acled_event_food_text_conflict,True,False,True,True,True,1.0,4,event_type,0.3163,37,0.3647,0.3056,1.0,0.4681,0.3693,0.2685,1.0,0.4234,0.8,10,1.0,5,3,1,0.01,0,0.6,1.0,1.0,4,event_type,2024,False
acled_event_food_text_all_pca_1_4,6c38dc4f496d403d85c44eeb2de255e6,acled_event_food_text_all,True,False,True,False,True,1.0,4,event_type,0.1139,56,0.2989,0.2973,0.8333,0.4382,0.3708,0.2948,0.8793,0.4416,0.8,1,1.0,3,3,1,0.1,3,1.0,0.6,1.0,4,event_type,2024,False
acled_sub_food_0.25_4,85522b877fad4ffd9be3254c03f53621,acled_sub_food,True,False,False,False,False,0.25,4,sub_event_type,0.4129,30,0.4508,0.4206,0.989,0.5902,0.4279,0.4279,1.0,0.5993,0.8,10,2.0,3,7,5,0.03,5,1.0,0.8,0.25,4,sub_event_type,2024,False
acled_event_food_0.25_4,65ed9045711844c69a0ff05c53760c25,acled_event_food,True,False,False,False,False,0.25,4,event_type,0.1294,12,0.4222,0.4213,1.0,0.5928,0.4649,0.4259,1.0,0.5974,0.8,1,1.0,3,3,1,0.1,3,1.0,0.6,0.25,4,event_type,2024,False
acled_sub_food_0.5_4,f2b9554a745748bdb8bf3a7e97631d7b,acled_sub_food,True,False,False,False,False,0.5,4,sub_event_type,0.3564,30,0.3912,0.3704,1.0,0.5405,0.3901,0.3796,1.0,0.5503,0.6,10,2.0,5,3,0,0.01,1,0.6,0.8,0.5,4,sub_event_type,2024,False
acled_event_food_0.5_4,1b4ff8c7816449bf950ab326abac4eaa,acled_event_food,True,False,False,False,False,0.5,4,event_type,0.1361,12,0.386,0.3674,0.9875,0.5356,0.3777,0.3796,1.0,0.5503,0.8,1,0.1,3,7,5,0.05,5,0.8,0.8,0.5,4,event_type,2024,False
acled_sub_food_1_4,5f1c9d81af304b8488f6567ffb531a4e,acled_sub_food,True,False,False,False,False,1.0,4,sub_event_type,0.0656,30,0.3585,0.3158,1.0,0.48,0.3286,0.2802,1.0,0.4377,1.0,5,0.0,1,3,5,0.1,0,1.0,0.6,1.0,4,sub_event_type,2024,False
acled_event_food_1_4,5f8b253a217545b892918b2568938619,acled_event_food,True,False,False,False,False,1.0,4,event_type,0.3355,12,0.321,0.3036,0.7727,0.4359,0.3675,0.2857,0.931,0.4372,0.8,10,2.0,1,7,5,0.03,1,0.6,0.6,1.0,4,event_type,2024,False
acled_sub_rain_text_conflict_pca_0.25_4,8b1c8bf8e2d7484d8ecc3823885299da,acled_sub_rain_text_conflict,False,True,True,True,True,0.25,4,sub_event_type,0.2914,53,0.4258,0.4159,0.978,0.5836,0.4277,0.4333,0.9891,0.6026,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.25,4,sub_event_type,2024,False
acled_sub_rain_text_all_pca_0.25_4,6a3e46485b7a437db4b8c9ebfd58d07a,acled_sub_rain_text_all,False,True,True,False,True,0.25,4,sub_event_type,0.074,72,0.4183,0.4213,1.0,0.5928,0.4379,0.4259,1.0,0.5974,0.6,1,1.0,3,5,0,0.1,5,0.6,1.0,0.25,4,sub_event_type,2024,False
acled_event_rain_text_conflict_pca_0.25_4,2cecdeab69514daf8652450dd35cbafc,acled_event_rain_text_conflict,False,True,True,True,True,0.25,4,event_type,0.2348,35,0.4178,0.4245,0.989,0.5941,0.4221,0.4327,0.9783,0.6,0.6,1,1.0,5,7,5,0.03,1,0.8,0.6,0.25,4,event_type,2024,False
acled_event_rain_text_all_pca_0.25_4,46d460f40eb044c09d7b6539bcf83602,acled_event_rain_text_all,False,True,True,False,True,0.25,4,event_type,0.1373,54,0.4207,0.4213,1.0,0.5928,0.4243,0.4259,1.0,0.5974,0.6,1,0.1,1,5,5,0.03,5,1.0,1.0,0.25,4,event_type,2024,False
acled_sub_rain_text_conflict_pca_0.5_4,6503a1ef1a9a4a07828941d7bc0a4018,acled_sub_rain_text_conflict,False,True,True,True,True,0.5,4,sub_event_type,0.4004,53,0.3558,0.3692,0.9875,0.5374,0.3759,0.3796,1.0,0.5503,0.6,10,0.1,5,5,5,0.01,1,0.6,0.8,0.5,4,sub_event_type,2024,False
acled_sub_rain_text_all_pca_0.5_4,84fc9f35e8a0411989bd810103e83c9c,acled_sub_rain_text_all,False,True,True,False,True,0.5,4,sub_event_type,0.0324,72,0.3497,0.3704,1.0,0.5405,0.4101,0.3796,1.0,0.5503,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.5,4,sub_event_type,2024,False
acled_event_rain_text_conflict_pca_0.5_4,b18a3c99285a43aea15d7e6f5c018ba2,acled_event_rain_text_conflict,False,True,True,True,True,0.5,4,event_type,0.4273,35,0.3478,0.3721,1.0,0.5424,0.3788,0.3832,1.0,0.5541,0.6,10,2.0,5,3,0,0.01,1,0.6,0.8,0.5,4,event_type,2024,False
acled_event_rain_text_all_pca_0.5_4,3f69885f84b1454ea2286f2bbe379fb7,acled_event_rain_text_all,False,True,True,False,True,0.5,4,event_type,0.0641,54,0.3802,0.3704,1.0,0.5405,0.3583,0.3796,1.0,0.5503,0.6,5,2.0,5,7,0,0.1,1,0.6,0.6,0.5,4,event_type,2024,False
acled_sub_rain_text_conflict_pca_1_4,92b7e51f665246bfac00b804ca08b45d,acled_sub_rain_text_conflict,False,True,True,True,True,1.0,4,sub_event_type,0.3555,53,0.3631,0.2837,0.6061,0.3865,0.3882,0.3116,0.7414,0.4388,0.6,10,2.0,5,3,1,0.05,5,0.6,0.8,1.0,4,sub_event_type,2024,False
