run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_food_text_conflict_threshold_change_ethiopia_pca_1.25_4,ff32a0d0f4354e768a16857435c62be4,acled_sub_food_text_conflict_threshold_change_ethiopia,True,False,True,True,True,1.25,4,sub_event_type,0.2803,55,0.2758,0.1915,0.8438,0.3121,0.2288,0.2266,0.8788,0.3602,0.6,10,2,1,3,5,0.03,1,0.6,0.8,1.25,4,sub_event_type
acled_event_food_text_conflict_threshold_change_ethiopia_pca_1.25_4,2e1e11271aa34df3a04ce9a4cfe00599,acled_event_food_text_conflict_threshold_change_ethiopia,True,False,True,True,True,1.25,4,event_type,0.3405,37,0.2590,0.1962,0.9688,0.3263,0.2608,0.2000,0.9697,0.3316,1.0,10,2,3,7,1,0.01,1,0.6,0.6,1.25,4,event_type
acled_sub_food_threshold_change_ethiopia_1.25_4,94c734bc1e9946a49d0417b68a8df09c,acled_sub_food_threshold_change_ethiopia,True,False,False,False,False,1.25,4,sub_event_type,0.4090,28,0.2963,0.2182,0.7500,0.3380,0.2621,0.2157,0.6667,0.3259,1.0,1,1,5,7,0,0.01,0,1.0,0.8,1.25,4,sub_event_type
acled_event_food_threshold_change_ethiopia_1.25_4,8f78310a393c401584377eb6c832eced,acled_event_food_threshold_change_ethiopia,True,False,False,False,False,1.25,4,event_type,0.1520,10,0.2755,0.2041,0.9375,0.3352,0.2435,0.2180,0.8788,0.3494,0.6,1,1,1,3,0,0.1,1,0.6,0.8,1.25,4,event_type
acled_sub_rain_text_conflict_threshold_change_ethiopia_pca_1.25_4,b8dd8e87f3f2420fa30257de784f2a5d,acled_sub_rain_text_conflict_threshold_change_ethiopia,False,True,True,True,True,1.25,4,sub_event_type,0.3562,55,0.2672,0.1935,0.9375,0.3209,0.2304,0.1961,0.9091,0.3226,0.6,10,0.1,5,5,5,0.01,1,0.6,0.8,1.25,4,sub_event_type
acled_event_rain_text_conflict_threshold_change_ethiopia_pca_1.25_4,02eb5039c2bc47e5898a65bcfb368bb7,acled_event_rain_text_conflict_threshold_change_ethiopia,False,True,True,True,True,1.25,4,event_type,0.3151,37,0.2539,0.1847,0.9062,0.3069,0.2435,0.2065,0.9697,0.3404,0.8,10,0,1,7,5,0.01,0,0.8,0.6,1.25,4,event_type
acled_sub_rain_threshold_change_ethiopia_1.25_4,c7bfd942237e476fbc1b2b42a7989bdc,acled_sub_rain_threshold_change_ethiopia,False,True,False,False,False,1.25,4,sub_event_type,0.1955,28,0.2335,0.2015,0.8438,0.3253,0.2606,0.2182,0.7273,0.3357,0.8,1,1,5,7,1,0.05,1,1.0,0.8,1.25,4,sub_event_type
acled_event_rain_threshold_change_ethiopia_1.25_4,53383245b85b481682280e466abc6878,acled_event_rain_threshold_change_ethiopia,False,True,False,False,False,1.25,4,event_type,0.3648,10,0.2204,0.1920,0.7500,0.3057,0.2465,0.2447,0.6970,0.3622,1.0,1,0.1,5,3,0,0.03,0,0.8,0.6,1.25,4,event_type
acled_sub_text_conflict_threshold_change_ethiopia_pca_1.25_4,260d6cc8a1be4a68afe3d1489c797367,acled_sub_text_conflict_threshold_change_ethiopia,False,False,True,True,True,1.25,4,sub_event_type,0.3727,54,0.2900,0.1884,0.8125,0.3059,0.2319,0.2171,0.8485,0.3457,0.8,10,2,3,3,5,0.01,5,0.8,0.8,1.25,4,sub_event_type
acled_event_text_conflict_threshold_change_ethiopia_pca_1.25_4,5f2c0cacdb034609a286f94219573b7f,acled_event_text_conflict_threshold_change_ethiopia,False,False,True,True,True,1.25,4,event_type,0.0299,36,0.2588,0.1923,0.9375,0.3191,0.2555,0.2062,1.0000,0.3420,1.0,5,0,3,3,0,0.1,1,1.0,0.8,1.25,4,event_type
acled_sub_threshold_change_ethiopia_1.25_4,b21522b7dee84d31a2263ec335ab7b22,acled_sub_threshold_change_ethiopia,False,False,False,False,False,1.25,4,sub_event_type,0.2814,27,0.2615,0.2083,0.7812,0.3289,0.2406,0.2143,0.6364,0.3206,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,1.25,4,sub_event_type
acled_event_threshold_change_ethiopia_1.25_4,1805e09d5d3c46129039a5267f05863e,acled_event_threshold_change_ethiopia,False,False,False,False,False,1.25,4,event_type,0.3249,9,0.2814,0.2231,0.9062,0.3580,0.2282,0.2212,0.7576,0.3425,0.6,10,0.1,1,7,0,0.03,0,0.8,1.0,1.25,4,event_type
