run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_text_all_pca_0.5_4,db2cbbe6b0a74b8984467bc6008e8e86,acled_sub_text_all,False,False,True,False,True,0.5,4,sub_event_type,0.0291,71,0.3865,0.3704,1.0000,0.5405,0.3823,0.3796,1.0000,0.5503,0.8,1,2,1,3,5,0.1,1,0.8,0.8,0.5,4,sub_event_type
acled_event_text_conflict_pca_0.5_4,8dc408ba4fda4549a3e142f3f318e15c,acled_event_text_conflict,False,False,True,True,True,0.5,4,event_type,0.3135,34,0.3764,0.3593,0.7500,0.4858,0.4294,0.3973,0.7073,0.5088,0.6,10,1,5,7,5,0.1,5,0.6,0.6,0.5,4,event_type
acled_event_text_all_pca_0.5_4,d18a2c37185e4a7f980e4ad97ecbb106,acled_event_text_all,False,False,True,False,True,0.5,4,event_type,0.1206,53,0.3508,0.3704,1.0000,0.5405,0.4067,0.3796,1.0000,0.5503,0.6,5,2,1,5,1,0.05,1,0.6,0.6,0.5,4,event_type
acled_sub_text_conflict_pca_1_4,313c2964313a41b3a23acd5bbb8017a8,acled_sub_text_conflict,False,False,True,True,True,1,4,sub_event_type,0.4710,52,0.4179,0.4878,0.3030,0.3738,0.4037,0.4412,0.2586,0.3261,0.6,10,1,3,7,1,0.05,5,0.6,1.0,1,4,sub_event_type
acled_sub_text_all_pca_1_4,f35aabd780574a4d91d297a8fed5a6e0,acled_sub_text_all,False,False,True,False,True,1,4,sub_event_type,0.2024,71,0.3148,0.2989,0.7879,0.4333,0.3736,0.3121,0.7586,0.4422,0.8,1,0,5,3,5,0.03,5,1.0,0.6,1,4,sub_event_type
acled_event_text_conflict_pca_1_4,072d155c8dc74694a42842408846bfab,acled_event_text_conflict,False,False,True,True,True,1,4,event_type,0.3404,34,0.4084,0.2891,0.5606,0.3814,0.4001,0.3008,0.6379,0.4088,0.8,10,1,3,3,0,0.1,5,1.0,0.8,1,4,event_type
acled_event_text_all_pca_1_4,597377b148254238aeb36d5b866038a9,acled_event_text_all,False,False,True,False,True,1,4,event_type,0.0943,53,0.3110,0.2888,0.8182,0.4269,0.3675,0.3067,0.7931,0.4423,1.0,1,0,5,7,5,0.03,0,0.6,1.0,1,4,event_type
acled_sub_0.25_4,708bb42115cf4257a23488a6a7d6e45d,acled_sub,False,False,False,False,False,0.25,4,sub_event_type,0.2727,27,0.4002,0.4213,1.0000,0.5928,0.4726,0.4259,1.0000,0.5974,1.0,1,1,5,5,5,0.01,0,1.0,1.0,0.25,4,sub_event_type
acled_event_0.25_4,736fb0dc907c4c45aa8e17d2fd0c29b2,acled_event,False,False,False,False,False,0.25,4,event_type,0.3765,9,0.4156,0.4011,0.8022,0.5348,0.4582,0.4074,0.7174,0.5197,1.0,5,0,1,7,5,0.1,3,0.6,0.6,0.25,4,event_type
acled_sub_0.5_4,644844308b3b4e5fb7e66f3c84453fd6,acled_sub,False,False,False,False,False,0.5,4,sub_event_type,0.2418,27,0.4019,0.3704,1.0000,0.5405,0.4111,0.3814,1.0000,0.5522,0.6,10,2,5,5,1,0.05,1,0.8,0.6,0.5,4,sub_event_type
acled_event_0.5_4,65a664f5e3074ed981e4f798425513f5,acled_event,False,False,False,False,False,0.5,4,event_type,0.2850,9,0.3486,0.3738,1.0000,0.5442,0.4360,0.3850,1.0000,0.5559,0.6,5,2,1,7,5,0.03,3,0.8,1.0,0.5,4,event_type
acled_sub_1_4,23dc63542f334e9296fdd012de87a55d,acled_sub,False,False,False,False,False,1,4,sub_event_type,0.4925,27,0.3334,0.2941,0.3030,0.2985,0.3766,0.3750,0.4655,0.4154,0.6,5,2,5,5,0,0.1,5,0.6,1.0,1,4,sub_event_type
acled_event_1_4,9b73b01440c8402c962e20f67fe7d91d,acled_event,False,False,False,False,False,1,4,event_type,0.4176,9,0.3167,0.2975,0.5455,0.3850,0.3992,0.3303,0.6207,0.4311,0.6,1,0,3,5,5,0.03,5,0.8,0.8,1,4,event_type
